Commodity,Classification,Market,Wholesale,Retail,Supply Volume,County,Date,temperature_mean_c,rain_sum_mm,year,month,day_of_year,week,season,price_lag_7d,price_lag_14d,price_lag_30d,rain_7d_rolling,rain_30d_rolling,temp_7d_rolling,price_change_7d,season_encoded,county_encoded,classification_encoded
Dry Maize,White Maize,Kapkwen,51.11,62.5,10800,Bomet,12/09/2023,18.7,2.7,2023,9,255,37,dry_mid,56.67,77.78,67.78,12.9,26.7,18.42857143,-5.56,1,1,1
Dry Maize,White Maize,Kapkwen,61.67,62.5,86400,Bomet,19/09/2023,18.3,8.1,2023,9,262,38,dry_mid,57.78,73.33,64.44,12.5,31.4,18.47142857,3.89,1,1,1
Dry Maize,White Maize,Kapkwen,50,58.33,86400,Bomet,26/09/2023,18.5,3.3,2023,9,269,39,dry_mid,61.11,75.56,68.89,15.7,33.3,18.57142857,-11.11,1,1,1
Dry Maize,White Maize,Kapkwen,50,58.33,86400,Bomet,03/10/2023,19.5,0,2023,10,276,40,short_rains,56.67,75.56,70,14.2,33.3,18.85714286,-6.67,3,1,1
Dry Maize,Mixed-Traditional ,Chebunyo,50,65,4500,Bomet,09/10/2023,21.5,0,2023,10,282,41,short_rains,50,66.67,75.56,14.2,32.6,19.25714286,0,3,1,0
Dry Maize,White Maize,Chebunyo,50,65,144900,Bomet,09/10/2023,21.5,0,2023,10,282,41,short_rains,53.33,65.56,72.22,14.2,28.3,19.64285714,-3.33,3,1,1
Dry Maize,White Maize,Chebunyo,50,70,153000,Bomet,16/10/2023,18.5,3.3,2023,10,289,42,short_rains,51.11,64.44,90,17.4,31.6,19.5,-1.11,3,1,1
Dry Maize,White Maize,Kapkwen,34.44,50,27000,Bomet,12/03/2024,20.2,0,2024,3,72,11,long_rains,51.11,56.67,77.78,14.7,31.6,19.71428571,-16.67,2,1,1
Dry Maize,White Maize,Kapkwen,34.44,50,27000,Bomet,19/03/2024,22,0,2024,3,79,12,long_rains,61.67,57.78,72.22,6.6,31.4,20.24285714,-27.23,2,1,1
Dry Maize,White Maize,Kapkwen,35.56,50,3600,Bomet,02/04/2024,19.4,2.1,2024,4,93,14,long_rains,50,61.11,72.22,5.4,33.3,20.37142857,-14.44,2,1,1
Dry Maize,Mixed-Traditional ,Chebunyo,35,42.5,4000,Bomet,08/04/2024,18.6,25.8,2024,4,99,15,long_rains,50,56.67,74.44,31.2,59.1,20.24285714,-15,2,1,0
Dry Maize,White Maize,Kapkwen,35.56,50,35000,Bomet,09/04/2024,17.5,3.8,2024,4,100,15,long_rains,50,50,72.22,35,62.9,19.67142857,-14.44,2,1,1
Dry Maize,White Maize,Mulot,36.67,50,12000,Bomet,10/04/2024,19.2,1.7,2024,4,101,15,long_rains,50,53.33,75.56,36.7,64.6,19.34285714,-13.33,2,1,1
Dry Maize,Mixed-Traditional ,Mogogosiek Market,37.78,50,1500,Bomet,11/04/2024,19.1,1,2024,4,102,15,long_rains,50,51.11,73.33,34.4,65.6,19.42857143,-12.22,2,1,0
Dry Maize,Mixed-Traditional ,Chebunyo,33.33,36.67,4000,Bomet,15/04/2024,19,3.7,2024,4,106,16,long_rains,34.44,51.11,75.56,38.1,67.5,19.25714286,-1.11,2,1,0
Dry Maize,White Maize,Kapkwen,37.78,55,27000,Bomet,16/04/2024,19.3,1.3,2024,4,107,16,long_rains,34.44,61.67,63.33,39.4,68.8,18.87142857,3.34,2,1,1
Dry Maize,White Maize,Mogogosiek Market,35.56,60,9000,Bomet,18/04/2024,19.4,2.8,2024,4,109,16,long_rains,35.56,50,77.78,40.1,71.4,18.87142857,0,2,1,1
Dry Maize,White Maize,Ndanai Market,35.56,36,9000,Bomet,19/04/2024,19.2,3,2024,4,110,16,long_rains,35,50,73.33,17.3,74.4,18.95714286,0.56,2,1,1
Dry Maize,White Maize,Mulot,36.67,50,18000,Bomet,20/04/2024,19.1,6.7,2024,4,111,16,long_rains,35.56,50,75.56,20.2,81.1,19.18571429,1.11,2,1,1
Dry Maize,White Maize,Chebunyo,33.33,35.56,4000,Bomet,22/04/2024,19.2,18.7,2024,4,113,17,long_rains,36.67,50,75.56,37.2,99.8,19.18571429,-3.34,2,1,1
Dry Maize,White Maize,Kapkwen,35.56,50,46800,Bomet,23/04/2024,19,8.8,2024,4,114,17,long_rains,37.78,50,66.67,45,108.6,19.17142857,-2.22,2,1,1
Dry Maize,White Maize,Mogogosiek Market,37.78,50,360,Bomet,25/04/2024,18.4,19,2024,4,116,17,long_rains,37.78,34.44,64.44,67.8,135.3,19.04285714,0,2,1,1
Dry Maize,White Maize,Ndanai Market,28,36,4500,Bomet,02/05/2024,19,12.4,2024,5,123,18,long_rains,35.56,35.56,56.67,77.4,147.2,18.98571429,-7.56,2,1,1
Dry Maize,White Maize,Mogogosiek Market,33.33,41.67,1800,Bomet,02/05/2024,19,12.4,2024,5,123,18,long_rains,35.56,35,57.78,86.8,151.1,18.95714286,-2.23,2,1,1
Dry Maize,Mixed-Traditional ,Ndanai Market,30,36,9000,Bomet,03/05/2024,18.5,12.4,2024,5,124,18,long_rains,36.67,35.56,61.11,92.5,163.4,18.87142857,-6.67,2,1,0
Dry Maize,White Maize,Mulot,34.44,42.5,27000,Bomet,04/05/2024,17.2,14.2,2024,5,125,18,long_rains,33.33,36.67,56.67,88,176.1,18.58571429,1.11,2,1,1
Dry Maize,White Maize,Kapkwen,35.56,55,27000,Bomet,07/05/2024,18.6,0.6,2024,5,128,19,long_rains,35.56,37.78,50,79.8,176.7,18.52857143,0,2,1,1
Dry Maize,Mixed-Traditional ,Ndanai Market,30,36,4500,Bomet,10/05/2024,18.4,4.8,2024,5,131,19,long_rains,35.56,33.33,53.33,75.8,181.5,18.44285714,-5.56,2,1,0
Dry Maize,White Maize,Kapkwen,35.56,55,27000,Bomet,14/05/2024,19.2,1.2,2024,5,135,20,long_rains,37.78,37.78,51.11,58,182.6,18.55714286,-2.22,2,1,1
Dry Maize,Mixed-Traditional ,Kapkwen,35.56,55,28000,Bomet,21/05/2024,18.3,7.9,2024,5,142,21,long_rains,28,35.56,51.11,53.5,187.8,18.45714286,7.56,2,1,0
Dry Maize,White Maize,Mogogosiek Market,33.33,52,360,Bomet,23/05/2024,18.8,0.1,2024,5,144,21,long_rains,33.33,35.56,61.67,41.2,179.8,18.42857143,0,2,1,1
Dry Maize,Mixed-Traditional ,Ndanai Market,35.56,40,12000,Bomet,24/05/2024,18.6,4.2,2024,5,145,21,long_rains,30,36.67,50,33,180.7,18.44285714,5.56,2,1,0
Dry Maize,White Maize,Chebunyo,31.11,50,12000,Bomet,27/05/2024,18.8,0.4,2024,5,148,22,long_rains,34.44,33.33,50,19.2,181.1,18.67142857,-3.33,2,1,1
Dry Maize,White Maize,Kapkwen,35.56,60,28000,Bomet,28/05/2024,18.6,0,2024,5,149,22,long_rains,35.56,35.56,50,18.6,181.1,18.67142857,0,2,1,1
Dry Maize,White Maize,Mogogosiek Market,37.78,52,900,Bomet,30/05/2024,19,0.9,2024,5,151,22,long_rains,30,35.56,50,14.7,182,18.75714286,7.78,2,1,1
Dry Maize,White Maize,Ndanai Market,36.67,36,11700,Bomet,31/05/2024,18.6,0,2024,5,152,22,long_rains,35.56,37.78,50,13.5,178.7,18.67142857,1.11,2,1,1
Dry Maize,White Maize,Kapkwen,35.56,60,36000,Bomet,04/06/2024,19.4,2.2,2024,6,156,23,dry_mid,35.56,28,34.44,7.8,180.9,18.82857143,0,1,1,1
Dry Maize,White Maize,Mulot,41.11,50,120000,Bomet,08/06/2024,18.7,0.2,2024,6,160,23,dry_mid,33.33,33.33,34.44,7.9,181.1,18.81428571,7.78,1,1,1
Dry Maize,White Maize,Kapkwen,35.56,55,27000,Bomet,11/06/2024,17.6,0.4,2024,6,163,24,dry_mid,35.56,30,35.56,4.1,179.4,18.67142857,0,1,1,1
Dry Maize,White Maize,Mulot,35.56,50,10000,Bomet,12/06/2024,17.3,0.5,2024,6,164,24,dry_mid,31.11,34.44,35,4.2,154.1,18.45714286,4.45,1,1,1
Dry Maize,White Maize,Ndanai Market,35.56,40,21600,Bomet,14/06/2024,18.4,0.1,2024,6,166,24,dry_mid,35.56,35.56,35.56,4.3,150.4,18.42857143,0,1,1,1
Dry Maize,Mixed-Traditional ,Mogogosiek Market,35.56,60,9000,Bomet,14/06/2024,18.4,0.1,2024,6,166,24,dry_mid,37.78,30,36.67,3.5,148.8,18.34285714,-2.22,1,1,0
Dry Maize,White Maize,Mulot,35.56,50,5000,Bomet,19/06/2024,18.3,0.1,2024,6,171,25,dry_mid,36.67,35.56,37.78,3.6,147.9,18.3,-1.11,1,1,1
Dry Maize,White Maize,Ndanai Market,34.44,36,28800,Bomet,21/06/2024,17.8,0,2024,6,173,25,dry_mid,35.56,35.56,33.33,1.4,144.2,18.07142857,-1.12,1,1,1
Dry Maize,White Maize,Chebunyo,30,55,35000,Bomet,24/06/2024,17.4,0.1,2024,6,176,26,dry_mid,41.11,33.33,37.78,1.3,143,17.88571429,-11.11,1,1,1
Dry Maize,White Maize,Kapkwen,35.56,60,27000,Bomet,25/06/2024,17.2,0,2024,6,177,26,dry_mid,35.56,35.56,35.56,0.9,140.2,17.82857143,0,1,1,1
Dry Maize,White Maize,Chebunyo,35.56,55,14000,Bomet,01/07/2024,18.1,0,2024,7,183,27,dry_mid,35.56,31.11,35.56,0.4,137.2,17.94285714,0,1,1,1
Dry Maize,White Maize,Ndanai Market,34.44,36,21600,Bomet,05/07/2024,19.2,0,2024,7,187,27,dry_mid,35.56,35.56,36.67,0.3,130.5,18.05714286,-1.12,1,1,1
Dry Maize,White Maize,Chebunyo,34.44,45,21000,Bomet,08/07/2024,16.9,6.5,2024,7,190,28,dry_mid,35.56,37.78,33.33,6.7,118.3,17.84285714,-1.12,1,1,1
Dry Maize,White Maize,Mogogosiek Market,35.56,55,13000,Bomet,11/07/2024,17.6,0,2024,7,193,28,dry_mid,35.56,36.67,35.56,6.6,109.5,17.74285714,0,1,1,1
Dry Maize,White Maize,Ndanai Market,34.44,36,21000,Bomet,12/07/2024,18,0,2024,7,194,28,dry_mid,34.44,35.56,35.56,6.6,100.7,17.77142857,0,1,1,1
Dry Maize,White Maize,Chebunyo,35.56,55,21000,Bomet,15/07/2024,17.7,11.9,2024,7,197,29,dry_mid,30,41.11,37.78,18.4,93.6,17.81428571,5.56,1,1,1
Dry Maize,White Maize,Mulot,34.44,50,12000,Bomet,17/07/2024,17.2,3.5,2024,7,199,29,dry_mid,35.56,35.56,28,21.9,84.7,17.81428571,-1.12,1,1,1
Dry Maize,White Maize,Ndanai Market,35.56,36,10800,Bomet,19/07/2024,17.1,5.4,2024,7,201,29,dry_mid,35.56,35.56,33.33,27.3,77.7,17.67142857,0,1,1,1
Dry Maize,White Maize,Chebunyo,35.56,50,14000,Bomet,22/07/2024,17.5,0.9,2024,7,204,30,dry_mid,34.44,35.56,30,28.2,66.2,17.42857143,1.12,1,1,1
Dry Maize,White Maize,Kapkwen,35.56,44,36000,Bomet,23/07/2024,18,0,2024,7,205,30,dry_mid,34.44,35.56,34.44,21.7,52,17.58571429,1.12,1,1,1
Dry Maize,White Maize,Mogogosiek Market,33.89,55,15000,Bomet,25/07/2024,17.6,1.9,2024,7,207,30,dry_mid,35.56,35.56,35.56,23.6,53.3,17.58571429,-1.67,1,1,1
Dry Maize,White Maize,Ndanai Market,34.44,38,9000,Bomet,26/07/2024,17.7,3.2,2024,7,208,30,dry_mid,34.44,34.44,30,26.8,51.7,17.54285714,0,1,1,1
Dry Maize,White Maize,Mulot,35.56,50,12000,Bomet,27/07/2024,18.1,3.8,2024,7,209,30,dry_mid,35.56,30,35.56,18.7,54.3,17.6,0,1,1,1
Dry Maize,White Maize,Kapkwen,34.44,50,2700,Bomet,30/07/2024,17,3.1,2024,7,212,31,dry_mid,34.44,35.56,35.56,18.3,49.5,17.57142857,0,1,1,1
Dry Maize,White Maize,Mogogosiek Market,40,48,90,Bomet,01/08/2024,17.6,0,2024,8,214,31,dry_mid,35.56,35.56,33.33,12.9,49.4,17.64285714,4.44,1,1,1
Dry Maize,White Maize,Kapkwen,34.44,50,49500,Bomet,06/08/2024,17.6,7.4,2024,8,219,32,dry_mid,35.56,34.44,35.56,19.4,52.6,17.65714286,-1.12,1,1,1
Dry Maize,White Maize,Mulot,33.33,42.5,15000,Bomet,07/08/2024,17.6,3.4,2024,8,220,32,dry_mid,35.56,34.44,31.11,22.8,55.6,17.6,-2.23,1,1,1
Dry Maize,White Maize,Mogogosiek Market,40,48,180,Bomet,08/08/2024,17.4,1.5,2024,8,221,32,dry_mid,33.89,35.56,35.56,22.4,57.1,17.57142857,6.11,1,1,1
Dry Maize,White Maize,Chebunyo,33.33,45,27000,Bomet,12/08/2024,16.9,2.5,2024,8,225,33,dry_mid,34.44,34.44,37.78,21.7,58.7,17.45714286,-1.11,1,1,1
Dry Maize,White Maize,Mulot,33.33,40,150000,Bomet,14/08/2024,17.6,1.7,2024,8,227,33,dry_mid,35.56,35.56,36.67,19.6,60.4,17.38571429,-2.23,1,1,1
Dry Maize,White Maize,Mogogosiek Market,37.5,50,180,Bomet,15/08/2024,17.2,2,2024,8,228,33,dry_mid,34.44,34.44,35.56,18.5,60.2,17.41428571,3.06,1,1,1
Dry Maize,White Maize,Chebunyo,31.11,40,18000,Bomet,19/08/2024,17.1,0,2024,8,232,34,dry_mid,40,35.56,41.11,18.5,60,17.34285714,-8.89,1,1,1
Dry Maize,White Maize,Ndanai Market,31.11,36,18000,Bomet,23/08/2024,17,0.3,2024,8,236,34,dry_mid,34.44,35.56,35.56,11.4,59.9,17.25714286,-3.33,1,1,1
Dry Maize,White Maize,Mogogosiek Market,34.44,55,12000,Bomet,23/08/2024,17,0.3,2024,8,236,34,dry_mid,33.33,35.56,35.56,8.3,59.7,17.17142857,1.11,1,1,1
Dry Maize,White Maize,Chebunyo,31.11,45,21000,Bomet,26/08/2024,16.5,6.3,2024,8,239,35,dry_mid,40,33.89,35.56,13.1,65.9,17.04285714,-8.89,1,1,1
Dry Maize,White Maize,Kapkwen,33.33,50,22500,Bomet,27/08/2024,17.3,0.1,2024,8,240,35,dry_mid,33.33,34.44,35.56,10.7,65.9,17.1,0,1,1,1
Dry Maize,White Maize,Mulot,32.22,40,15000,Bomet,28/08/2024,18.4,0,2024,8,241,35,dry_mid,33.33,35.56,35.56,9,65.8,17.21428571,-1.11,1,1,1
Dry Maize,White Maize,Mogogosiek Market,40,48,90,Bomet,29/08/2024,18.1,0,2024,8,242,35,dry_mid,37.5,34.44,34.44,7,65.8,17.34285714,2.5,1,1,1
Dry Maize,White Maize,Ndanai Market,33.33,38,27000,Bomet,30/08/2024,17.9,0,2024,8,243,35,dry_mid,31.11,40,30,7,65.7,17.45714286,2.22,1,1,1
Dry Maize,White Maize,Chebunyo,34.44,45,14000,Bomet,02/09/2024,18.2,0,2024,9,246,36,dry_mid,31.11,34.44,35.56,6.7,65.7,17.62857143,3.33,1,1,1
Dry Maize,White Maize,Ndanai Market,33.33,36,14000,Bomet,03/09/2024,17.6,9.5,2024,9,247,36,dry_mid,34.44,33.33,35.56,15.9,75.2,17.71428571,-1.11,1,1,1
Dry Maize,White Maize,Ndanai Market,33.33,36,27000,Bomet,03/09/2024,17.6,9.5,2024,9,247,36,dry_mid,31.11,40,34.44,19.1,84.7,17.87142857,2.22,1,1,1
Dry Maize,White Maize,Mulot,34.44,45,15000,Bomet,07/09/2024,18,0,2024,9,251,36,dry_mid,33.33,33.33,34.44,19,78.2,17.97142857,1.11,1,1,1
Dry Maize,White Maize,Chebunyo,33.33,45,45000,Bomet,09/09/2024,19.1,0,2024,9,253,37,dry_mid,32.22,33.33,35.56,19,78.2,18.07142857,1.11,1,1,1
Dry Maize,White Maize,Kapkwen,34.44,55,27000,Bomet,10/09/2024,19.2,0,2024,9,254,37,dry_mid,40,37.5,34.44,19,78.2,18.22857143,-5.56,1,1,1
Dry Maize,White Maize,Mulot,33.33,45,15000,Bomet,11/09/2024,19.3,0,2024,9,255,37,dry_mid,33.33,31.11,35.56,19,66.3,18.42857143,0,1,1,1
Dry Maize,White Maize,Mogogosiek Market,33.89,50,15000,Bomet,12/09/2024,19,0,2024,9,256,37,dry_mid,34.44,31.11,34.44,19,62.8,18.54285714,-0.55,1,1,1
Dry Maize,White Maize,Ndanai Market,34.44,45,3600,Bomet,13/09/2024,19.3,0.1,2024,9,257,37,dry_mid,33.33,34.44,35.56,9.6,57.5,18.78571429,1.11,1,1,1
Dry Maize,White Maize,Kapkwen,35.56,55,27000,Bomet,17/09/2024,18.7,0.1,2024,9,261,38,dry_mid,33.33,31.11,35.56,0.2,56.7,18.94285714,2.23,1,1,1
Dry Maize,White Maize,Mulot,33.33,45,12000,Bomet,18/09/2024,18.9,0.1,2024,9,262,38,dry_mid,34.44,33.33,35.56,0.3,56.8,19.07142857,-1.11,1,1,1
Dry Maize,Mixed-Traditional ,Mogogosiek Market,33.33,50,1500,Bomet,19/09/2024,18.7,16.8,2024,9,263,38,dry_mid,33.33,32.22,33.89,17.1,71.7,19.01428571,0,1,1,0
Dry Maize,White Maize,Kapkwen,35.56,60,27000,Bomet,24/09/2024,19.2,0.1,2024,9,268,39,dry_mid,34.44,40,34.44,17.2,68.6,19.01428571,1.12,1,1,1
Dry Maize,White Maize,Mulot,37.78,50,15000,Bomet,25/09/2024,18.6,0.1,2024,9,269,39,dry_mid,33.33,33.33,35.56,17.3,64.9,18.91428571,4.45,1,1,1
Dry Maize,White Maize,Mogogosiek Market,34.44,50,15000,Bomet,26/09/2024,19,0.1,2024,9,270,39,dry_mid,33.89,34.44,34.44,17.4,61.9,18.91428571,0.55,1,1,1
Dry Maize,White Maize,Ndanai Market,33.33,45,27000,Bomet,27/09/2024,19.1,0.7,2024,9,271,39,dry_mid,34.44,33.33,40,18,62.6,18.88571429,-1.11,1,1,1
Dry Maize,White Maize,Mogogosiek Market,34.44,50,1500,Bomet,01/10/2024,18,8.6,2024,10,275,40,short_rains,35.56,33.33,34.44,26.5,63.8,18.78571429,-1.12,3,1,1
Dry Maize,White Maize,Kapkwen,34.44,90,27000,Bomet,01/10/2024,18,8.6,2024,10,275,40,short_rains,33.33,34.44,33.33,35,69,18.65714286,1.11,3,1,1
Dry Maize,White Maize,Mulot,37.78,90,12000,Bomet,02/10/2024,19.1,0.1,2024,10,276,40,short_rains,33.33,33.33,40,18.3,67.6,18.71428571,4.45,3,1,1
Dry Maize,White Maize,Ndanai Market,33.33,45,36000,Bomet,04/10/2024,18.7,0,2024,10,278,40,short_rains,35.56,34.44,33.33,18.2,65.1,18.64285714,-2.23,3,1,1
Dry Maize,White Maize,Kapkwen,34.44,45,27000,Bomet,08/10/2024,18.9,0,2024,10,282,41,short_rains,37.78,33.33,33.33,18.1,63.4,18.68571429,-3.34,3,1,1
Dry Maize,White Maize,Mulot,40,50,12000,Bomet,09/10/2024,19.2,0,2024,10,283,41,short_rains,34.44,33.89,37.5,18,61.4,18.71428571,5.56,3,1,1
Dry Maize,White Maize,Bomet Market,38.89,60,16000,Bomet,17/01/2025,18.8,0.1,2025,1,17,3,dry_jan_feb,33.33,34.44,31.11,17.4,61.5,18.67142857,5.56,0,1,1
Dry Maize,White Maize,Bomet Market,41.11,60,10000,Bomet,17/01/2025,18.8,0.1,2025,1,17,3,dry_jan_feb,34.44,35.56,31.11,8.9,61.3,18.78571429,6.67,0,1,1
Dry Maize,White Maize,Ndanai Market,41.11,65,45000,Bomet,31/01/2025,18.7,0.1,2025,1,31,5,dry_jan_feb,34.44,33.33,34.44,0.4,61.1,18.88571429,6.67,0,1,1
Dry Maize,White Maize,Ndanai Market,41.11,55,45000,Bomet,07/02/2025,20.3,0,2025,2,38,6,dry_jan_feb,37.78,33.33,31.11,0.3,54.8,19.05714286,3.33,0,1,1
Dry Maize,White Maize,Ndanai Market,41.11,55,54000,Bomet,21/02/2025,21.1,0,2025,2,52,8,dry_jan_feb,33.33,35.56,33.33,0.3,54.7,19.4,7.78,0,1,1
Dry Maize,White Maize,Ndanai Market,41.11,60,54000,Bomet,28/02/2025,21.6,0,2025,2,59,9,dry_jan_feb,34.44,37.78,32.22,0.3,54.7,19.78571429,6.67,0,1,1
Dry Maize,White Maize,Ndanai Market,41.11,120,54000,Bomet,07/03/2025,22.6,0,2025,3,66,10,long_rains,40,34.44,40,0.3,54.7,20.27142857,1.11,2,1,1
Dry Maize,White Maize,Ndanai Market,41.11,130,54000,Bomet,14/03/2025,20.6,0.1,2025,3,73,11,long_rains,38.89,33.33,33.33,0.3,54.8,20.52857143,2.22,2,1,1
Dry Maize,White Maize,Kapkwen,45.56,48,27000,Bomet,20/05/2025,19.1,13.3,2025,5,140,21,long_rains,41.11,34.44,34.44,13.5,68.1,20.57142857,4.45,2,1,1
Dry Maize,White Maize,Mogogosiek Market,62.5,79.17,10800,Bomet,22/05/2025,19.3,4.2,2025,5,142,21,long_rains,41.11,34.44,33.33,17.6,62.8,20.65714286,21.39,2,1,1
Dry Maize,White Maize,Ndanai Market,66.67,75,9000,Bomet,23/05/2025,19.1,0.6,2025,5,143,21,long_rains,41.11,37.78,33.33,18.2,53.9,20.48571429,25.56,2,1,1
Dry Maize,White Maize,Mulot,56.67,80,24000,Bomet,28/05/2025,19.3,0.1,2025,5,148,22,long_rains,41.11,33.33,34.44,18.3,54,20.22857143,15.56,2,1,1
Dry Maize,White Maize,Ndanai Market,66.67,150,18000,Bomet,30/05/2025,19.6,0.1,2025,5,150,22,long_rains,41.11,34.44,33.33,18.4,54.1,19.94285714,25.56,2,1,1
Dry Maize,White Maize,Mulot,53.33,75,15000,Bomet,04/06/2025,19.1,0.5,2025,6,155,23,dry_mid,41.11,40,34.44,18.9,54.6,19.44285714,12.22,1,1,1
Dry Maize,White Maize,Chebunyo,54.44,75,63000,Bomet,09/06/2025,18.6,0,2025,6,160,24,dry_mid,41.11,38.89,33.33,18.8,54.6,19.15714286,13.33,1,1,1
Dry Maize,White Maize,Mulot,56.67,80,8700,Bomet,11/06/2025,19,0,2025,6,162,24,dry_mid,45.56,41.11,33.89,5.5,54.6,19.14285714,11.11,1,1,1
Dry Maize,White Maize,Mogogosiek Market,62.5,75,10800,Bomet,17/06/2025,17.7,0.9,2025,6,168,25,dry_mid,62.5,41.11,34.44,2.2,55.4,18.91428571,0,1,1,1
Dry Maize,White Maize,Ndanai Market,61.11,75,36000,Bomet,20/06/2025,17.1,3.5,2025,6,171,25,dry_mid,66.67,41.11,35.56,5.1,58.8,18.62857143,-5.56,1,1,1
Dry Maize,White Maize,Mulot,53.33,75,13200,Bomet,21/06/2025,17.9,0,2025,6,172,25,dry_mid,56.67,41.11,33.33,5,58.7,18.42857143,-3.34,1,1,1
Dry Maize,White Maize,Chebunyo,55.56,75,45000,Bomet,23/06/2025,18.7,0,2025,6,174,26,dry_mid,66.67,41.11,33.33,4.9,41.9,18.3,-11.11,1,1,1
Dry Maize,White Maize,Mogogosiek Market,62.5,79.17,10800,Bomet,24/06/2025,18.8,0,2025,6,175,26,dry_mid,53.33,41.11,35.56,4.4,41.8,18.25714286,9.17,1,1,1
Dry Maize,White Maize,Mulot,55.56,75,9000,Bomet,25/06/2025,19,0,2025,6,176,26,dry_mid,54.44,41.11,37.78,4.4,41.7,18.31428571,1.12,1,1,1
Dry Maize,White Maize,Ndanai Market,54.44,75,54000,Bomet,27/06/2025,19.6,0,2025,6,178,26,dry_mid,56.67,45.56,34.44,4.4,41.6,18.4,-2.23,1,1,1
Dry Maize,White Maize,Kapkwen,53.33,60,270000,Bomet,01/07/2025,17.7,0.3,2025,7,182,27,dry_mid,62.5,62.5,33.33,3.8,41.2,18.4,-9.17,1,1,1
Dry Maize,White Maize,Mogogosiek Market,62.5,75,10800,Bomet,01/07/2025,17.7,0.3,2025,7,182,27,dry_mid,61.11,66.67,34.44,0.6,32.9,18.48571429,1.39,1,1,1
Dry Maize,Mixed-Traditional ,Mulot,47.78,70,7800,Bomet,02/07/2025,18.4,0.4,2025,7,183,27,dry_mid,53.33,56.67,34.44,1,24.7,18.55714286,-5.55,1,1,0
Dry Maize,White Maize,Ndanai Market,55.56,75,45000,Bomet,04/07/2025,18.8,0.6,2025,7,185,27,dry_mid,55.56,66.67,37.78,1.6,25.2,18.57142857,0,1,1,1
Dry Maize,White Maize,Kapkwen,52.22,58,45000,Bomet,08/07/2025,18.5,0.1,2025,7,189,28,dry_mid,62.5,53.33,33.33,1.7,25.3,18.52857143,-10.28,1,1,1
Dry Maize,White Maize,Mogogosiek Market,66.67,79.17,10800,Bomet,08/07/2025,18.5,0.1,2025,7,189,28,dry_mid,55.56,54.44,34.44,1.8,25.4,18.45714286,11.11,1,1,1
Dry Maize,White Maize,Ndanai Market,53.33,140,45000,Bomet,11/07/2025,17.2,5.6,2025,7,192,28,dry_mid,54.44,56.67,40,7.4,31,18.11428571,-1.11,1,1,1
